bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
2023-07-07 14:26:24,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.25860333,-144.21103667,315.2,18.7,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:32:22,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.28063500,-144.25397000,314.6,18.7,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:40:20,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.31000000,-144.31000000,315.0,19.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:45:21,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.32798500,-144.34640333,315.0,18.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:51:02,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.34850167,-144.38578167,315.6,18.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 14:56:03,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.36692500,-144.42081333,315.7,18.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:01:58,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.38912833,-144.46281500,315.7,18.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:07:26,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.40833333,-144.50166667,316.0,19.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:09:51,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.41812167,-144.51802167,315.8,18.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:12:03,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.42599333,-144.53382500,313.5,18.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:18:21,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.44849500,-144.57944333,314.3,18.6,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:23:22,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.46635167,-144.61594167,314.3,18.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:28:27,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.48444500,-144.65291000,314.0,18.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:33:27,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.50222333,-144.68902333,315.5,18.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:38:28,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.52052000,-144.72391833,315.7,18.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:43:33,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.53909333,-144.75944667,315.8,18.2,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:48:33,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.55726667,-144.79410833,316.2,18.3,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:53:33,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.57562167,-144.82905000,316.0,18.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 15:58:45,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.59471167,-144.86532833,316.2,18.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:03:45,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.61308333,-144.90007500,316.0,18.3,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:08:45,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.63114333,-144.93528500,314.8,18.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:13:45,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.64911333,-144.97090833,314.8,18.3,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:18:45,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.66710167,-145.00625167,315.0,18.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:23:45,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.68514000,-145.04179667,315.0,18.3,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:28:45,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.70336667,-145.07769833,315.2,18.7,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:33:45,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.72191000,-145.11431833,315.1,19.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:38:46,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.74076500,-145.15169500,315.2,19.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:43:51,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.76014333,-145.19008833,315.1,19.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:48:51,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.77904667,-145.22735667,315.4,19.2,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:53:15,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.79553167,-145.25988000,318.2,18.9,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:54:04,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.79881000,-145.26540333,320.4,19.0,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 16:59:04,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.81888000,-145.29866000,320.5,18.7,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 17:04:10,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.83900500,-145.33210333,320.3,18.4,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 17:09:10,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.85869333,-145.36454500,320.3,18.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 17:14:15,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.87868667,-145.39767000,320.0,18.5,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
2023-07-07 17:19:15,310327000,ZCBU5,9104005,GRAND PRINCESS,Under way using engine,59.89830833,-145.43069333,320.1,18.6,US CF1,2023-07-08 01:00:00,Passenger ship,8.5,290,36
