bs_ts,ak_dt,mmsi,imo,call_sign,name,lat,lon,sog,cog
2012-07-14 16:55:45,2012-07-14 07:55:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,197.0
2012-07-14 16:58:44,2012-07-14 07:58:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,183.6
2012-07-14 17:01:44,2012-07-14 08:01:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,178.9
2012-07-14 17:04:43,2012-07-14 08:04:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,207.8
2012-07-14 17:07:44,2012-07-14 08:07:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,199.1
2012-07-14 17:10:43,2012-07-14 08:10:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,181.4
2012-07-14 17:13:44,2012-07-14 08:13:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,1.0,195.3
2012-07-14 17:16:44,2012-07-14 08:16:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,9.0
2012-07-14 17:19:43,2012-07-14 08:19:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33831,-131.6439,0.0,193.9
2012-07-14 17:22:44,2012-07-14 08:22:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,167.4
2012-07-14 17:25:44,2012-07-14 08:25:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,162.2
2012-07-14 17:28:45,2012-07-14 08:28:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,147.7
2012-07-14 17:31:44,2012-07-14 08:31:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,36.0
2012-07-14 17:34:44,2012-07-14 08:34:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,166.4
2012-07-14 17:37:45,2012-07-14 08:37:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33833,-131.6439,0.0,339.8
2012-07-14 17:40:45,2012-07-14 08:40:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33833,-131.6439,0.0,98.3
2012-07-14 17:43:44,2012-07-14 08:43:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,196.9
2012-07-14 17:46:43,2012-07-14 08:46:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,145.2
2012-07-14 17:49:45,2012-07-14 08:49:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,243.4
2012-07-14 17:52:44,2012-07-14 08:52:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,271.9
2012-07-14 17:55:45,2012-07-14 08:55:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,0.8
2012-07-14 17:58:44,2012-07-14 08:58:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,202.3
2012-07-14 18:01:45,2012-07-14 09:01:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,172.8
2012-07-14 18:04:44,2012-07-14 09:04:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,260.0
2012-07-14 18:07:44,2012-07-14 09:07:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,213.4
2012-07-14 18:10:44,2012-07-14 09:10:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,320.4
2012-07-14 18:13:44,2012-07-14 09:13:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,229.8
2012-07-14 18:16:45,2012-07-14 09:16:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,308.8
2012-07-14 18:19:45,2012-07-14 09:19:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,194.3
2012-07-14 18:22:43,2012-07-14 09:22:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,19.2
2012-07-14 18:25:45,2012-07-14 09:25:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33833,-131.6439,0.0,246.7
2012-07-14 18:28:44,2012-07-14 09:28:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,338.8
2012-07-14 18:31:45,2012-07-14 09:31:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33833,-131.6439,0.0,36.1
2012-07-14 18:34:45,2012-07-14 09:34:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,229.7
2012-07-14 18:37:43,2012-07-14 09:37:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33833,-131.6439,0.0,355.7
2012-07-14 18:40:44,2012-07-14 09:40:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33833,-131.6439,0.0,48.1
2012-07-14 18:43:43,2012-07-14 09:43:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33833,-131.6439,0.0,207.3
2012-07-14 18:46:45,2012-07-14 09:46:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33833,-131.6439,0.0,179.6
2012-07-14 18:49:45,2012-07-14 09:49:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,19.7
2012-07-14 18:52:44,2012-07-14 09:52:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,146.9
2012-07-14 18:55:44,2012-07-14 09:55:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,258.4
2012-07-14 18:58:44,2012-07-14 09:58:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,283.6
2012-07-14 19:01:44,2012-07-14 10:01:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,259.8
2012-07-14 19:04:45,2012-07-14 10:04:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,218.8
2012-07-14 19:07:44,2012-07-14 10:07:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,274.5
2012-07-14 19:10:44,2012-07-14 10:10:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,25.8
2012-07-14 19:13:45,2012-07-14 10:13:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,230.5
2012-07-14 19:16:45,2012-07-14 10:16:45,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,345.6
2012-07-14 19:19:43,2012-07-14 10:19:43,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,326.5
2012-07-14 19:22:44,2012-07-14 10:22:44,308457000,9126819,C6QM8,DISNEY WONDER,55.33832,-131.6439,0.0,358.6
