,segment_id,port,start_index,end_index,port_duration,timelapse,time_in,time_out,distance_nm,imo,name
877,NORWEGIAN_ENCORE_0014,Glacier Bay,3195,3505,9.195277777777777,9.195,2023-05-18 05:48:18-08:00,2023-05-18 15:00:01-08:00,119.66,9751511.0,NORWEGIAN ENCORE
881,NORWEGIAN_ENCORE_0022,Glacier Bay,5407,5691,9.19361111111111,9.194,2023-05-25 05:47:44-08:00,2023-05-25 14:59:21-08:00,120.96,9751511.0,NORWEGIAN ENCORE
885,NORWEGIAN_ENCORE_0030,Glacier Bay,7615,7903,9.046944444444444,9.047,2023-06-01 05:49:58-08:00,2023-06-01 14:52:47-08:00,121.88,9751511.0,NORWEGIAN ENCORE
889,NORWEGIAN_ENCORE_0038,Glacier Bay,9861,10202,9.261388888888888,9.261,2023-06-08 05:54:39-08:00,2023-06-08 15:10:20-08:00,120.65,9751511.0,NORWEGIAN ENCORE
893,NORWEGIAN_ENCORE_0046,Glacier Bay,12124,12432,9.221944444444444,9.222,2023-06-15 05:50:09-08:00,2023-06-15 15:03:28-08:00,121.19,9751511.0,NORWEGIAN ENCORE
897,NORWEGIAN_ENCORE_0054,Glacier Bay,14505,14691,9.321944444444444,9.322,2023-06-22 05:44:55-08:00,2023-06-22 15:04:14-08:00,121.5,9751511.0,NORWEGIAN ENCORE
901,NORWEGIAN_ENCORE_0062,Glacier Bay,16616,16883,9.179166666666667,9.179,2023-06-29 05:49:42-08:00,2023-06-29 15:00:27-08:00,118.88,9751511.0,NORWEGIAN ENCORE
905,NORWEGIAN_ENCORE_0070,Glacier Bay,18794,19091,9.616388888888888,9.616,2023-07-06 05:43:40-08:00,2023-07-06 15:20:39-08:00,119.75,9751511.0,NORWEGIAN ENCORE
909,NORWEGIAN_ENCORE_0078,Glacier Bay,20950,21207,9.056944444444444,9.057,2023-07-13 05:47:15-08:00,2023-07-13 14:50:40-08:00,118.32,9751511.0,NORWEGIAN ENCORE
913,NORWEGIAN_ENCORE_0086,Glacier Bay,23146,23438,9.454166666666667,9.454,2023-07-20 05:47:06-08:00,2023-07-20 15:14:21-08:00,119.46,9751511.0,NORWEGIAN ENCORE
917,NORWEGIAN_ENCORE_0094,Glacier Bay,25300,25589,9.4725,9.473,2023-07-27 05:46:01-08:00,2023-07-27 15:14:22-08:00,120.6,9751511.0,NORWEGIAN ENCORE
922,NORWEGIAN_ENCORE_0104,Glacier Bay,27459,27787,9.7475,9.748,2023-08-03 05:45:20-08:00,2023-08-03 15:30:11-08:00,119.65,9751511.0,NORWEGIAN ENCORE
926,NORWEGIAN_ENCORE_0112,Glacier Bay,29716,30045,9.274722222222222,9.275,2023-08-10 05:49:53-08:00,2023-08-10 15:06:22-08:00,105.51,9751511.0,NORWEGIAN ENCORE
930,NORWEGIAN_ENCORE_0120,Glacier Bay,32098,32405,9.234722222222222,9.235,2023-08-17 05:50:05-08:00,2023-08-17 15:04:10-08:00,120.7,9751511.0,NORWEGIAN ENCORE
934,NORWEGIAN_ENCORE_0128,Glacier Bay,34305,34573,9.185555555555556,9.186,2023-08-24 05:51:21-08:00,2023-08-24 15:02:29-08:00,119.17,9751511.0,NORWEGIAN ENCORE
938,NORWEGIAN_ENCORE_0136,Glacier Bay,36528,36842,9.513333333333334,9.513,2023-08-31 05:41:32-08:00,2023-08-31 15:12:20-08:00,111.58,9751511.0,NORWEGIAN ENCORE
943,NORWEGIAN_ENCORE_0146,Glacier Bay,38815,39062,8.376666666666667,8.377,2023-09-07 06:07:55-08:00,2023-09-07 14:30:31-08:00,108.78,9751511.0,NORWEGIAN ENCORE
947,NORWEGIAN_ENCORE_0154,Glacier Bay,41108,41362,8.681111111111111,8.681,2023-09-14 06:18:36-08:00,2023-09-14 14:59:28-08:00,105.91,9751511.0,NORWEGIAN ENCORE
950,NORWEGIAN_ENCORE_0160,Glacier Bay,43660,43961,8.525555555555556,8.526,2023-09-21 06:32:09-08:00,2023-09-21 15:03:41-08:00,107.5,9751511.0,NORWEGIAN ENCORE
955,NORWEGIAN_ENCORE_0170,Glacier Bay,46060,46363,8.503333333333334,8.503,2023-09-28 06:47:06-08:00,2023-09-28 15:17:18-08:00,109.24,9751511.0,NORWEGIAN ENCORE
959,NORWEGIAN_ENCORE_0178,Glacier Bay,48430,48744,8.396666666666667,8.397,2023-10-05 07:05:45-08:00,2023-10-05 15:29:33-08:00,112.14,9751511.0,NORWEGIAN ENCORE
963,NORWEGIAN_ENCORE_0186,Glacier Bay,50725,50999,8.1375,8.138,2023-10-12 07:23:16-08:00,2023-10-12 15:31:31-08:00,110.32,9751511.0,NORWEGIAN ENCORE
967,NORWEGIAN_ENCORE_0194,Glacier Bay,52751,53071,8.587222222222222,8.587,2023-10-19 07:35:17-08:00,2023-10-19 16:10:31-08:00,109.95,9751511.0,NORWEGIAN ENCORE
971,NORWEGIAN_ENCORE_0202,Glacier Bay,55133,55409,8.025833333333333,8.026,2023-10-26 07:49:52-08:00,2023-10-26 15:51:25-08:00,110.96,9751511.0,NORWEGIAN ENCORE
978,NORWEGIAN_JEWEL_0012,Glacier Bay,2392,2703,8.9975,8.997,2023-05-06 05:50:55-08:00,2023-05-06 14:50:46-08:00,116.89,9304045.0,NORWEGIAN JEWEL
990,NORWEGIAN_JEWEL_0036,Glacier Bay,8671,8959,9.608055555555556,9.608,2023-05-20 05:46:53-08:00,2023-05-20 15:23:22-08:00,117.46,9304045.0,NORWEGIAN JEWEL
1003,NORWEGIAN_JEWEL_0062,Glacier Bay,14754,15067,9.272777777777778,9.273,2023-06-03 05:46:53-08:00,2023-06-03 15:03:15-08:00,118.97,9304045.0,NORWEGIAN JEWEL
1015,NORWEGIAN_JEWEL_0086,Glacier Bay,21288,21591,9.734444444444444,9.734,2023-06-17 05:45:22-08:00,2023-06-17 15:29:26-08:00,118.31,9304045.0,NORWEGIAN JEWEL
1027,NORWEGIAN_JEWEL_0110,Glacier Bay,27575,27897,9.506666666666666,9.507,2023-07-01 05:43:30-08:00,2023-07-01 15:13:54-08:00,117.82,9304045.0,NORWEGIAN JEWEL
1039,NORWEGIAN_JEWEL_0134,Glacier Bay,34308,34623,10.0925,10.093,2023-07-15 05:44:28-08:00,2023-07-15 15:50:01-08:00,118.48,9304045.0,NORWEGIAN JEWEL
1051,NORWEGIAN_JEWEL_0158,Glacier Bay,40525,40838,9.982777777777779,9.983,2023-07-29 05:37:22-08:00,2023-07-29 15:36:20-08:00,118.18,9304045.0,NORWEGIAN JEWEL
1063,NORWEGIAN_JEWEL_0182,Glacier Bay,46496,46805,9.981944444444444,9.982,2023-08-12 05:52:20-08:00,2023-08-12 15:51:15-08:00,116.66,9304045.0,NORWEGIAN JEWEL
1075,NORWEGIAN_JEWEL_0206,Glacier Bay,52939,53225,9.948888888888888,9.949,2023-08-26 05:50:25-08:00,2023-08-26 15:47:21-08:00,119.76,9304045.0,NORWEGIAN JEWEL
1087,NORWEGIAN_JEWEL_0230,Glacier Bay,59700,59958,7.5775,7.577,2023-09-09 06:04:39-08:00,2023-09-09 13:39:18-08:00,111.23,9304045.0,NORWEGIAN JEWEL
1100,NORWEGIAN_JEWEL_0256,Glacier Bay,66157,66469,9.666944444444445,9.667,2023-09-23 06:27:45-08:00,2023-09-23 16:07:46-08:00,116.96,9304045.0,NORWEGIAN JEWEL
1113,NORWEGIAN_SPIRIT_0004,Glacier Bay,1169,1502,9.528333333333334,9.528,2023-05-05 07:42:05-08:00,2023-05-05 17:13:47-08:00,119.27,9141065.0,NORWEGIAN SPIRIT
1204,NORWEGIAN_SPIRIT_0186,Glacier Bay,59558,59865,9.346666666666666,9.347,2023-09-02 08:50:55-08:00,2023-09-02 18:11:43-08:00,111.1,9141065.0,NORWEGIAN SPIRIT
1219,NORWEGIAN_SUN_0024,Glacier Bay,6879,7183,9.466111111111111,9.466,2023-05-28 05:37:45-08:00,2023-05-28 15:05:43-08:00,118.99,9218131.0,NORWEGIAN SUN
1235,NORWEGIAN_SUN_0056,Glacier Bay,17628,17850,9.464444444444444,9.464,2023-06-25 05:42:34-08:00,2023-06-25 15:10:26-08:00,111.18,9218131.0,NORWEGIAN SUN
