index,date,boatName,mmsi,imo,portAfter,portBefore,ts_in,ts_out,timeTo,distTo,first_ts_in_next_port,mean_sog,max_sog,segment_id,LOA,GT,DWT,pax,Berths,Cabins ,Crew,Breadth
230,9/6/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-09-06 06:16:14-08:00,2023-09-06 14:31:58-08:00,15.74,303.88,2023-09-07 06:16:21-08:00,18.13648649,23,ROYAL_PRINCESS_0228,329.87,142714,12512,,,,,44
231,9/13/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-09-13 06:37:04-08:00,2023-09-13 14:42:40-08:00,15.603,300.42,2023-09-14 06:18:49-08:00,17.6148847,22.8,ROYAL_PRINCESS_0242,329.87,142714,12512,,,,,44
232,9/20/23,ROYAL PRINCESS,310661000,9584712,Ketchikan,Skagway,2023-09-20 06:55:00-08:00,2023-09-20 15:10:40-08:00,15.6,302.59,2023-09-21 06:46:41-08:00,18.07866109,22.6,ROYAL_PRINCESS_0252,329.87,142714,12512,,,,,44
81,5/10/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-05-10 06:22:41-08:00,2023-05-10 15:47:14-08:00,18.443,304.4,2023-05-11 10:13:50-08:00,15.70795229,19.2,KONINGSDAM_0010,299.65,99836,9480,2650,,,,34.98
82,5/17/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-05-17 06:08:02-08:00,2023-05-17 15:29:56-08:00,19.103,302.93,2023-05-18 10:36:06-08:00,15.1729207,18.9,KONINGSDAM_0018,299.65,99836,9480,2650,,,,34.98
83,5/24/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-05-24 06:08:48-08:00,2023-05-24 15:39:17-08:00,18.454,303.05,2023-05-25 10:06:31-08:00,15.83087935,19,KONINGSDAM_0026,299.65,99836,9480,2650,,,,34.98
84,5/31/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-05-31 06:04:14-08:00,2023-05-31 15:21:33-08:00,18.882,304.99,2023-06-01 10:14:30-08:00,15.55972763,18.4,KONINGSDAM_0034,299.65,99836,9480,2650,,,,34.98
85,6/7/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-06-07 06:23:53-08:00,2023-06-07 15:34:06-08:00,17.955,301.11,2023-06-08 09:31:23-08:00,16.0100616,19.8,KONINGSDAM_0042,299.65,99836,9480,2650,,,,34.98
86,6/14/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-06-14 06:19:43-08:00,2023-06-14 15:20:50-08:00,18.429,302.87,2023-06-15 09:46:36-08:00,15.7815735,18.9,KONINGSDAM_0050,299.65,99836,9480,2650,,,,34.98
87,6/21/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-06-21 06:21:45-08:00,2023-06-21 15:22:48-08:00,18.669,304.28,2023-06-22 10:02:58-08:00,15.55578093,19.7,KONINGSDAM_0058,299.65,99836,9480,2650,,,,34.98
88,6/28/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-06-28 06:24:55-08:00,2023-06-28 15:26:21-08:00,18.799,303.72,2023-06-29 10:14:19-08:00,15.66136821,18.6,KONINGSDAM_0066,299.65,99836,9480,2650,,,,34.98
89,7/5/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-07-05 06:23:57-08:00,2023-07-05 15:34:42-08:00,17.938,302.58,2023-07-06 09:30:57-08:00,16.03790984,20.1,KONINGSDAM_0074,299.65,99836,9480,2650,,,,34.98
90,7/12/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-07-12 06:17:45-08:00,2023-07-12 15:25:01-08:00,18.833,304.61,2023-07-13 10:14:58-08:00,15.71364562,18.8,KONINGSDAM_0082,299.65,99836,9480,2650,,,,34.98
91,7/19/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-07-19 06:29:17-08:00,2023-07-19 15:22:09-08:00,18.495,303.45,2023-07-20 09:51:50-08:00,15.69570552,18.7,KONINGSDAM_0090,299.65,99836,9480,2650,,,,34.98
92,7/26/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-07-26 06:18:09-08:00,2023-07-26 14:43:46-08:00,19.254,302.81,2023-07-27 09:59:01-08:00,14.83365385,18.5,KONINGSDAM_0098,299.65,99836,9480,2650,,,,34.98
93,8/2/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-08-02 06:26:43-08:00,2023-08-02 15:28:58-08:00,17.563,301.87,2023-08-03 09:02:44-08:00,16.46202783,21.2,KONINGSDAM_0106,299.65,99836,9480,2650,,,,34.98
94,8/9/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-08-09 06:19:04-08:00,2023-08-09 15:20:23-08:00,18.345,303.06,2023-08-10 09:41:05-08:00,15.86623932,19.3,KONINGSDAM_0114,299.65,99836,9480,2650,,,,34.98
95,8/16/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-08-16 06:21:59-08:00,2023-08-16 15:39:39-08:00,17.866,303.24,2023-08-17 09:31:36-08:00,16.44961089,20.9,KONINGSDAM_0122,299.65,99836,9480,2650,,,,34.98
96,8/23/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-08-23 06:21:06-08:00,2023-08-23 15:37:23-08:00,17.973,304.49,2023-08-24 09:35:46-08:00,16.46487603,20.5,KONINGSDAM_0130,299.65,99836,9480,2650,,,,34.98
97,8/30/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-08-30 06:25:34-08:00,2023-08-30 15:30:23-08:00,18.806,305.93,2023-08-31 10:18:45-08:00,14.86596491,22.8,KONINGSDAM_0138,299.65,99836,9480,2650,,,,34.98
98,9/6/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-09-06 06:29:21-08:00,2023-09-06 15:19:23-08:00,18.331,304.01,2023-09-07 09:39:13-08:00,16.0932377,19.1,KONINGSDAM_0146,299.65,99836,9480,2650,,,,34.98
99,9/13/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-09-13 06:55:49-08:00,2023-09-13 15:48:02-08:00,17.963,304.09,2023-09-14 09:45:47-08:00,16.42810707,22.1,KONINGSDAM_0154,299.65,99836,9480,2650,,,,34.98
100,9/20/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-09-20 07:13:15-08:00,2023-09-20 16:48:09-08:00,17.032,302.53,2023-09-21 09:50:03-08:00,16.90787879,22.3,KONINGSDAM_0162,299.65,99836,9480,2650,,,,34.98
101,9/27/23,KONINGSDAM,244830547,9692557,Ketchikan,Skagway,2023-09-27 07:02:04-08:00,2023-09-27 17:52:10-08:00,16.288,303.71,2023-09-28 10:09:28-08:00,17.40536082,22.6,KONINGSDAM_0170,299.65,99836,9480,2650,,,,34.98
102,10/4/23,KONINGSDAM,244830547,9692557,Ketchikan,Juneau,2023-10-04 07:39:15-08:00,2023-10-04 15:59:53-08:00,18.036,303.52,2023-10-05 10:02:04-08:00,15.83634652,19.6,KONINGSDAM_0176,299.65,99836,9480,2650,,,,34.98
125,5/11/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-05-11 06:05:34-08:00,2023-05-11 14:47:47-08:00,15.045,301.01,2023-05-12 05:50:28-08:00,17.93972056,23.1,NORWEGIAN_ENCORE_0006,333.44,169116,13332,,,,,45
126,5/18/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-05-18 06:09:23-08:00,2023-05-18 14:47:46-08:00,14.808,299.75,2023-05-19 05:36:13-08:00,17.95557769,24.1,NORWEGIAN_ENCORE_0014,333.44,169116,13332,,,,,45
127,5/25/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-05-25 06:05:54-08:00,2023-05-25 14:48:21-08:00,14.82,303.04,2023-05-26 05:37:33-08:00,17.8292887,23.5,NORWEGIAN_ENCORE_0022,333.44,169116,13332,,,,,45
128,6/1/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-06-01 06:08:39-08:00,2023-06-01 14:41:50-08:00,14.956,299.6,2023-06-02 05:39:10-08:00,17.93731959,22.7,NORWEGIAN_ENCORE_0030,333.44,169116,13332,,,,,45
129,6/8/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-06-08 06:12:34-08:00,2023-06-08 14:54:59-08:00,14.737,299.16,2023-06-09 05:39:11-08:00,18.40041841,24.3,NORWEGIAN_ENCORE_0038,333.44,169116,13332,,,,,45
130,6/15/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-06-15 06:09:29-08:00,2023-06-15 14:48:20-08:00,14.913,300.9,2023-06-16 05:43:07-08:00,18.11228733,23.2,NORWEGIAN_ENCORE_0046,333.44,169116,13332,,,,,45
131,6/22/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-06-22 06:08:24-08:00,2023-06-22 14:50:14-08:00,15.018,299.66,2023-06-23 05:51:20-08:00,18.10781893,23.8,NORWEGIAN_ENCORE_0054,333.44,169116,13332,,,,,45
132,6/29/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-06-29 06:09:10-08:00,2023-06-29 14:49:16-08:00,14.821,301.06,2023-06-30 05:38:32-08:00,18.2105042,22.7,NORWEGIAN_ENCORE_0062,333.44,169116,13332,,,,,45
133,7/6/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-07-06 06:03:09-08:00,2023-07-06 15:04:40-08:00,14.609,299.6,2023-07-07 05:41:13-08:00,18.41319588,24.8,NORWEGIAN_ENCORE_0070,333.44,169116,13332,,,,,45
134,7/13/23,NORWEGIAN ENCORE,311000879,9751511,Ketchikan,Skagway,2023-07-13 06:06:15-08:00,2023-07-13 14:41:15-08:00,14.947,299.65,2023-07-14 05:38:06-08:00,17.49544554,23.3,NORWEGIAN_ENCORE_0078,333.44,169116,13332,,,,,45
