         391699057 function calls (391585293 primitive calls) in 50.544 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1900    0.009    0.000    0.013    0.000 {method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
64081/64051    0.009    0.000    0.009    0.000 {built-in method numpy.asarray}
    48695    0.009    0.000    0.012    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/inference.py:321(is_hashable)
     5319    0.009    0.000    0.052    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:2268(maybe_convert_dtype)
    48253    0.008    0.000    0.053    0.000 {method 'all' of 'numpy.ndarray' objects}
    24752    0.008    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/flags.py:47(__init__)
    10593    0.008    0.000    0.008    0.000 {built-in method pandas._libs.tslibs.timezones.tz_compare}
    14828    0.008    0.000    0.010    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:4973(__contains__)
    29619    0.008    0.000    0.036    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/base.py:286(is_dtype)
   139241    0.008    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:244(mgr_locs)
     5786    0.008    0.000    0.026    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:2043(new_block)
     9522    0.008    0.000    0.281    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:587(__init__)
     1773    0.008    0.000    0.528    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/tools/datetimes.py:678(to_datetime)
    19112    0.008    0.000    0.009    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1848(internal_values)
    58050    0.008    0.000    0.008    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:648(<genexpr>)
     1773    0.007    0.000    0.025    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:960(_verify_integrity)
     1788    0.007    0.000    0.007    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
     9521    0.007    0.000    0.024    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/construction.py:698(_try_cast)
    48253    0.007    0.000    0.681    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/missing.py:697(<lambda>)
