,bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
133,2023-09-24 07:25:15,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.92919,-135.19857833,180.2,11.8,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
134,2023-09-24 07:30:15,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.91285667,-135.19845667,179.6,11.7,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
135,2023-09-24 07:35:24,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.89630167,-135.19837333,179.6,11.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
136,2023-09-24 07:40:25,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.88015,-135.19824,179.3,11.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
137,2023-09-24 07:41:25,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.87693333,-135.19803667,177.3,11.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
138,2023-09-24 07:42:14,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.8743,-135.19767833,174.8,11.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
139,2023-09-24 07:43:04,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.87164,-135.19710333,172.8,11.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
140,2023-09-24 07:43:55,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.86892833,-135.196325,170.7,11.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
141,2023-09-24 07:49:05,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.85254333,-135.19086667,170.2,11.7,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
142,2023-09-24 07:54:05,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.83641333,-135.18549167,169.9,11.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
143,2023-09-24 07:59:05,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.82021333,-135.17987667,169.3,11.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
144,2023-09-24 08:04:05,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.80389333,-135.17342,167.6,12.0,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
145,2023-09-24 08:06:54,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,58.79487833,-135.16981333,168.7,11.5,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
