bs_ts,name,mmsi,destination,heading,lat,lon,cog,sog,nav_status,imo,callsign,Type of ship
2008-08-19T19:29:06,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69809167,-147.0867017,163.6,16.9,0,9230402,ZCDG4,16
2008-08-19T19:29:00,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69853,-147.0869683,163.6,16.9,0,9230402,ZCDG4,16
2008-08-19T19:29:00,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69853,-147.0869683,163.6,16.9,0,9230402,ZCDG4,16
2008-08-19T19:28:54,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69898,-147.087245,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:53,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69898,-147.087245,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:48,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69942167,-147.087515,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:48,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.69942167,-147.087515,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:42,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.699855,-147.08778,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:42,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.699855,-147.08778,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:39,ISLAND PRINCESS,310384000,GLACIER BAY,0,60.70037833,-147.0881033,0.0,0.0,0,9230402,ZCDG4,16
2008-08-19T19:28:36,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70037833,-147.0881033,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:35,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70037833,-147.0881033,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:31,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70083,-147.08838,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:31,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70083,-147.08838,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:23,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70125833,-147.0886433,163.6,16.9,0,9230402,ZCDG4,16
2008-08-19T19:28:23,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70125833,-147.0886433,163.6,16.9,0,9230402,ZCDG4,16
2008-08-19T19:28:21,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70170833,-147.0889183,163.3,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:20,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70170833,-147.0889183,163.3,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:12,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70215,-147.0891883,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:11,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70215,-147.0891883,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:07,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.702515,-147.0894117,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:28:01,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70302167,-147.08972,163.3,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:59,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70302167,-147.08972,163.3,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:53,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70338833,-147.0899467,163.3,16.7,0,9230402,ZCDG4,16
2008-08-19T19:27:49,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70390667,-147.090265,163.3,16.7,0,9230402,ZCDG4,16
2008-08-19T19:27:48,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70390667,-147.090265,163.3,16.7,0,9230402,ZCDG4,16
2008-08-19T19:27:45,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70441833,-147.09058,163.3,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:41,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70441833,-147.09058,163.3,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:37,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70485,-147.0908483,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:35,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70485,-147.0908483,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:30,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70529667,-147.0911233,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:29,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70529667,-147.0911233,163.7,16.8,0,9230402,ZCDG4,16
2008-08-19T19:27:23,ISLAND PRINCESS,310384000,GLACIER BAY,162,60.70573167,-147.0913917,163.3,16.8,0,9230402,ZCDG4,16
