bs_ts,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,mmsi,Type of ship
2008-09-13T20:51:22,MILLENNIUM,HUBBARD GLACIER,59.60873333,-139.9276833,63,61.5,9.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:18,MILLENNIUM,HUBBARD GLACIER,59.60866667,-139.9278667,65,62.5,9.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:12,MILLENNIUM,HUBBARD GLACIER,59.60855,-139.9283167,67,64.5,9.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:51:02,MILLENNIUM,HUBBARD GLACIER,59.60836667,-139.92915,70,67.5,9.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:50:53,MILLENNIUM,HUBBARD GLACIER,59.60825,-139.9298333,73,68.6,9.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:50:43,MILLENNIUM,HUBBARD GLACIER,59.6081,-139.9306833,76,73.5,9.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:50:32,MILLENNIUM,HUBBARD GLACIER,59.60795,-139.9315667,78,77.7,9.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:50:23,MILLENNIUM,HUBBARD GLACIER,59.60788333,-139.93225,80,79.7,9.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:50:12,MILLENNIUM,HUBBARD GLACIER,59.6078,-139.93325,82,78.9,9.4,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:50:02,MILLENNIUM,HUBBARD GLACIER,59.6077,-139.93415,83,80.5,9.4,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:53,MILLENNIUM,HUBBARD GLACIER,59.60766667,-139.9348667,84,83.3,9.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:42,MILLENNIUM,HUBBARD GLACIER,59.60761667,-139.9357167,85,84.4,9.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:37,MILLENNIUM,HUBBARD GLACIER,59.6076,-139.93625,85,83.2,9.8,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:32,MILLENNIUM,HUBBARD GLACIER,59.60756667,-139.9365833,85,83.8,9.9,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:31,MILLENNIUM,HUBBARD GLACIER,59.60756667,-139.9367833,85,85.5,9.8,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:25,MILLENNIUM,HUBBARD GLACIER,59.60753333,-139.9373333,85,83.1,10.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:22,MILLENNIUM,HUBBARD GLACIER,59.60751667,-139.93755,86,83.7,10.0,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:20,MILLENNIUM,HUBBARD GLACIER,59.60751667,-139.9378667,86,86.5,10.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:12,MILLENNIUM,HUBBARD GLACIER,59.6075,-139.9384333,86,84.8,10.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:07,MILLENNIUM,HUBBARD GLACIER,59.60746667,-139.9389833,86,84.8,10.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:03,MILLENNIUM,HUBBARD GLACIER,59.60745,-139.9394167,86,86.0,10.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:49:03,MILLENNIUM,HUBBARD GLACIER,59.60745,-139.93955,86,86.0,10.4,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:48:55,MILLENNIUM,HUBBARD GLACIER,59.60743333,-139.94,86,84.9,10.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:48:53,MILLENNIUM,HUBBARD GLACIER,59.60741667,-139.9402333,86,84.3,10.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:48:48,MILLENNIUM,HUBBARD GLACIER,59.6074,-139.9407,86,86.5,10.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:48:42,MILLENNIUM,HUBBARD GLACIER,59.60738333,-139.94115,86,85.4,10.8,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:48:37,MILLENNIUM,HUBBARD GLACIER,59.60735,-139.9418667,86,84.4,10.9,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:48:30,MILLENNIUM,HUBBARD GLACIER,59.60731667,-139.9424667,86,85.4,11.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:48:24,MILLENNIUM,HUBBARD GLACIER,59.60728333,-139.9431833,85,83.4,11.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:48:18,MILLENNIUM,HUBBARD GLACIER,59.60726667,-139.9437,85,85.5,11.4,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:48:12,MILLENNIUM,HUBBARD GLACIER,59.60723333,-139.94445,85,83.0,11.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:48:06,MILLENNIUM,HUBBARD GLACIER,59.6072,-139.94495,85,85.9,11.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:48:00,MILLENNIUM,HUBBARD GLACIER,59.60716667,-139.9457,85,83.0,11.9,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:47:56,MILLENNIUM,HUBBARD GLACIER,59.60713333,-139.9462333,85,85.0,11.9,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:47:49,MILLENNIUM,HUBBARD GLACIER,59.6071,-139.9469833,85,83.0,12.0,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:47:43,MILLENNIUM,HUBBARD GLACIER,59.60706667,-139.9475333,85,85.4,12.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:47:36,MILLENNIUM,HUBBARD GLACIER,59.60705,-139.9483167,85,84.5,12.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:47:30,MILLENNIUM,HUBBARD GLACIER,59.60701667,-139.9488833,85,83.6,12.3,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:47:23,MILLENNIUM,HUBBARD GLACIER,59.60695,-139.9502,0,0.0,0.0,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:47:18,MILLENNIUM,HUBBARD GLACIER,59.60695,-139.9502,86,85.5,12.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:47:12,MILLENNIUM,HUBBARD GLACIER,59.6069,-139.9509167,86,85.5,12.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:47:07,MILLENNIUM,HUBBARD GLACIER,59.60688333,-139.9516167,86,85.0,12.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:47:00,MILLENNIUM,HUBBARD GLACIER,59.60683333,-139.9521667,86,85.2,12.9,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:46:55,MILLENNIUM,HUBBARD GLACIER,59.60681667,-139.9528667,87,86.5,12.9,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:46:48,MILLENNIUM,HUBBARD GLACIER,59.60678333,-139.9537167,87,86.1,13.0,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:46:42,MILLENNIUM,HUBBARD GLACIER,59.60675,-139.9544167,88,86.2,13.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:46:37,MILLENNIUM,HUBBARD GLACIER,59.60673333,-139.9551333,88,87.5,13.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:46:31,MILLENNIUM,HUBBARD GLACIER,59.60671667,-139.95585,87,87.4,13.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:46:24,MILLENNIUM,HUBBARD GLACIER,59.60668333,-139.9565833,87,84.0,13.4,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:46:18,MILLENNIUM,HUBBARD GLACIER,59.60666667,-139.9573167,87,87.8,13.5,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:46:13,MILLENNIUM,HUBBARD GLACIER,59.60665,-139.95805,87,86.1,13.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:46:06,MILLENNIUM,HUBBARD GLACIER,59.60661667,-139.9587833,87,86.1,13.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T20:46:00,MILLENNIUM,HUBBARD GLACIER,59.60658333,-139.9595333,87,86.1,13.7,0,9189419.0,9HJF9,249055000,16.0
