bs_ts,mmsi,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,Type of ship
2008-09-17T07:35:19,311109000,NORWEGIAN SUN,JUNEAU,56.71126667,-134.4863333,355,355.9,17.5,0,9218131,C6RN3,16
2008-09-17T08:37:47,311109000,NORWEGIAN SUN,JUNEAU,56.99841667,-134.3002667,34,36.8,17.8,0,9218131,C6RN3,16
2008-09-17T08:34:47,311109000,NORWEGIAN SUN,JUNEAU,56.98655,-134.3165667,34,36.9,17.6,0,9218131,C6RN3,16
2008-09-17T08:34:16,311109000,NORWEGIAN SUN,JUNEAU,56.9846,-134.3192833,34,36.9,17.6,0,9218131,C6RN3,16
2008-09-17T08:31:11,311109000,NORWEGIAN SUN,JUNEAU,56.97258333,-134.3359167,35,38.2,17.7,0,9218131,C6RN3,16
2008-09-17T08:29:52,311109000,NORWEGIAN SUN,JUNEAU,56.96745,-134.3428833,33,35.9,17.7,0,9218131,C6RN3,16
2008-09-17T08:28:59,311109000,NORWEGIAN SUN,JUNEAU,56.96386667,-134.3476667,34,36.9,17.6,0,9218131,C6RN3,16
2008-09-17T08:26:23,311109000,NORWEGIAN SUN,JUNEAU,56.95371667,-134.36125,35,36.3,17.4,0,9218131,C6RN3,16
2008-09-17T07:51:42,311109000,NORWEGIAN SUN,JUNEAU,56.79493333,-134.4915833,0,0.9,19.0,0,9218131,C6RN3,16
2008-09-17T07:51:25,311109000,NORWEGIAN SUN,JUNEAU,56.79326667,-134.49165,0,0.9,19.0,0,9218131,C6RN3,16
2008-09-17T07:48:18,311109000,NORWEGIAN SUN,JUNEAU,56.77716667,-134.4920667,0,0.6,18.6,0,9218131,C6RN3,16
2008-09-17T07:46:37,311109000,NORWEGIAN SUN,JUNEAU,56.76846667,-134.4921667,0,0.0,18.5,0,9218131,C6RN3,16
2008-09-17T07:43:37,311109000,NORWEGIAN SUN,JUNEAU,56.75301667,-134.4922333,1,0.3,18.6,0,9218131,C6RN3,16
2008-09-17T07:43:18,311109000,NORWEGIAN SUN,JUNEAU,56.75146667,-134.4922333,0,359.4,18.7,0,9218131,C6RN3,16
2008-09-17T08:12:16,311109000,NORWEGIAN SUN,JUNEAU,56.89566667,-134.4351167,34,34.0,18.9,0,9218131,C6RN3,16
2008-09-17T08:10:34,311109000,NORWEGIAN SUN,JUNEAU,56.88816667,-134.4440667,35,33.4,19.0,0,9218131,C6RN3,16
2008-09-17T08:09:17,311109000,NORWEGIAN SUN,JUNEAU,56.88248333,-134.4507,34,33.1,19.1,0,9218131,C6RN3,16
2008-09-17T08:08:50,311109000,NORWEGIAN SUN,JUNEAU,56.8766667,-134.457333,511,360.0,102.3,15,9218131,C6RN3,16
2008-09-17T08:07:23,311109000,NORWEGIAN SUN,JUNEAU,56.87401667,-134.4607333,34,33.7,19.1,0,9218131,C6RN3,16
2008-09-17T08:06:10,311109000,NORWEGIAN SUN,JUNEAU,56.8687,-134.4670333,33,32.3,18.9,0,9218131,C6RN3,16
2008-09-17T08:05:52,311109000,NORWEGIAN SUN,JUNEAU,56.86728333,-134.4686667,32,30.0,18.9,0,9218131,C6RN3,16
2008-09-17T08:05:17,311109000,NORWEGIAN SUN,JUNEAU,56.86461667,-134.4713833,29,29.0,18.9,0,9218131,C6RN3,16
2008-09-17T08:04:52,311109000,NORWEGIAN SUN,JUNEAU,56.86275,-134.47315,26,26.3,18.9,0,9218131,C6RN3,16
